antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"ardei gras, smantana",bulion de gaina,0.1517509727626459,0.07911802853437094,0.07911802853437094,0.5213675213675214,6.58974358974359,1.0,0.06711179074121737,1.9239855475264038,1.0,0.5213675213675214,0.48024557602022394,0.7606837606837606
"carne de pasare, verdeata",bulion de gaina,0.1517509727626459,0.07911802853437094,0.07911802853437094,0.5213675213675214,6.58974358974359,1.0,0.06711179074121737,1.9239855475264038,1.0,0.5213675213675214,0.48024557602022394,0.7606837606837606
"apa, ardei",dovlecel,0.14526588845654995,0.08300907911802853,0.07522697795071336,0.5178571428571428,6.238560267857142,1.0,0.0631685903226729,1.9019070951626071,0.9824185024331537,0.4915254237288135,0.47421196201252774,0.7120535714285714
"branza telemea, ulei",paste fainoase,0.11932555123216602,0.10116731517509728,0.07522697795071336,0.6304347826086956,6.231605351170567,1.0,0.0631551323007666,2.432135500114442,0.9532781473769742,0.5178571428571429,0.5888386975343496,0.6870122630992195
"paine, paste fainoase",branza telemea,0.07782101167315175,0.12321660181582361,0.05966277561608301,0.7666666666666667,6.222105263157895,1.0,0.05007393500784771,3.7576431350750426,0.91010823702073,0.42201834862385323,0.7338757396449704,0.6254385964912281
"orez, patrunjel radacina",supa de oase,0.1621271076523995,0.06614785992217899,0.06614785992217899,0.408,6.167999999999999,1.0,0.05542349871560003,1.5774529393206433,0.9999999999999999,0.4079999999999999,0.36606666666666665,0.704
"orez, patrunjel radacina",rosii in bulion,0.1621271076523995,0.06614785992217899,0.06614785992217899,0.408,6.167999999999999,1.0,0.05542349871560003,1.5774529393206433,0.9999999999999999,0.4079999999999999,0.36606666666666665,0.704
"apa, branza telemea",paste fainoase,0.11932555123216602,0.10116731517509728,0.07392996108949416,0.6195652173913043,6.124163879598662,1.0,0.061858115439547404,2.362645914396887,0.9500813890396093,0.5044247787610621,0.5767457180500659,0.6751672240802675
"carne de pasare, ceapa",bulion de gaina,0.16342412451361868,0.07911802853437094,0.07911802853437094,0.4841269841269841,6.119047619047619,1.0,0.06618823398789787,1.7850942831487577,1.0,0.4841269841269841,0.4398054996646545,0.7420634920634921
"carne de pasare, sare",bulion de gaina,0.16342412451361868,0.07911802853437094,0.07911802853437094,0.4841269841269841,6.119047619047619,1.0,0.06618823398789787,1.7850942831487577,1.0,0.4841269841269841,0.4398054996646545,0.7420634920634921
