antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"cartofi, patrunjel radacina",fasole verde,0.06265060240963856,0.05783132530120482,0.03442340791738382,0.5494505494505494,9.50091575091575,1.0,0.030800240549115565,2.0911548633558623,0.9545501285347044,0.39999999999999997,0.5217953402096623,0.5723443223443223
"fasole verde, varza",bors crud,0.033734939759036145,0.10533562822719449,0.033734939759036145,1.0,9.493464052287582,1.0,0.03018144868631151,inf,0.9258995368721056,0.32026143790849676,1.0,0.6601307189542484
"fasole verde, patrunjel radacina",bors crud,0.04475043029259897,0.10533562822719449,0.04475043029259897,1.0,9.493464052287582,1.0,0.04003661560429078,inf,0.9365765765765766,0.4248366013071896,1.0,0.7124183006535948
"varza, verdeata",ardei gras,0.04612736660929432,0.08296041308089501,0.03614457831325301,0.7835820895522387,9.445252988171177,1.0,0.03231783292501207,4.237355332660691,0.9373648846041484,0.38888888888888884,0.7640037425485185,0.6096333684275717
"patrunjel radacina, rosie",fasole verde,0.0819277108433735,0.05783132530120482,0.04475043029259897,0.5462184873949579,9.44502801120448,1.0,0.04001244219563279,2.0762605979473445,0.9739147991116496,0.4710144927536231,0.5183648907133185,0.6600140056022408
"monosodium glutamate, soup, chicken broth","chicken, meat",0.06643717728055078,0.055077452667814115,0.03442340791738382,0.5181347150259067,9.407383419689118,1.0,0.030764217430331108,1.9609682971517404,0.9573008849557522,0.39525691699604737,0.49004784959936576,0.5715673575129533
"chicken, meat, refined salt","soup, chicken broth",0.05266781411359724,0.07125645438898451,0.0351118760757315,0.6666666666666667,9.355877616747183,1.0,0.031358954381578444,2.786230636833047,0.9427688953488372,0.3953488372093023,0.6410921670373116,0.5797101449275363
"chicken, meat, monosodium glutamate","soup, chicken broth",0.05197934595524957,0.07125645438898451,0.03442340791738382,0.662251655629139,9.293918162331638,1.0,0.03071954402315433,2.7498093213188883,0.9413326071169209,0.3875968992248061,0.6363384209053554,0.5726717215343763
"patrunjel radacina, telina",fasole verde,0.060240963855421686,0.05783132530120482,0.03235800344234079,0.5371428571428571,9.288095238095238,1.0,0.02887418866515978,2.0355496058307305,0.9495362793235134,0.37751004016064255,0.508732188527585,0.5483333333333333
"cartofi, telina",fasole verde,0.060929432013769366,0.05783132530120482,0.03270223752151463,0.536723163841808,9.280838041431263,1.0,0.029178607718308693,2.033705553923009,0.9501427689458248,0.38000000000000006,0.5082867340008959,0.5510996771589992
"refined salt, soup, chicken broth","chicken, meat",0.06884681583476764,0.055077452667814115,0.0351118760757315,0.51,9.2596875,1.0,0.03131996883526237,1.9284133619024202,0.9579573049182705,0.3953488372093023,0.48143897996357016,0.57375
"fasole verde, verdeata",bors crud,0.046815834767642,0.10533562822719449,0.045438898450946646,0.9705882352941176,9.214244521337948,1.0,0.04050752308471654,30.41858864027538,0.935257231031879,0.4258064516129033,0.9671253649593735,0.7009803921568628
"chicken, meat","soup, chicken broth",0.055077452667814115,0.07125645438898451,0.03614457831325301,0.65625,9.209692028985508,1.0,0.03221995431936746,2.701799405413863,0.9433775696070779,0.400763358778626,0.6298762972572276,0.5817481884057971
"chicken, meat, tap water","soup, chicken broth",0.055077452667814115,0.07125645438898451,0.03614457831325301,0.65625,9.209692028985508,1.0,0.03221995431936746,2.701799405413863,0.9433775696070779,0.400763358778626,0.6298762972572276,0.5817481884057971
"soup, chicken broth","chicken, meat",0.07125645438898451,0.055077452667814115,0.03614457831325301,0.5072463768115942,9.209692028985508,1.0,0.03221995431936746,1.917636934291789,0.959811500582442,0.400763358778626,0.4785248541485178,0.5817481884057971
"soup, chicken broth, tap water","chicken, meat",0.07125645438898451,0.055077452667814115,0.03614457831325301,0.5072463768115942,9.209692028985508,1.0,0.03221995431936746,1.917636934291789,0.959811500582442,0.400763358778626,0.4785248541485178,0.5817481884057971
"ardei gras, patrunjel radacina",bors crud,0.04509466437177281,0.10533562822719449,0.043717728055077454,0.9694656488549618,9.203587287332235,1.0,0.03896765325378228,29.300258175559332,0.9334398719266076,0.40967741935483876,0.9658706078967542,0.692249164296762
"chicken, meat, rice glutinous, polished, steamed","soup, chicken broth",0.05197934595524957,0.07125645438898451,0.034079173838209985,0.6556291390728477,9.20097898070832,1.0,0.030375309943980498,2.6969283728319873,0.9401861754802932,0.38223938223938225,0.6292078017074213,0.5669450043190325
"cartofi, rosie",varza,0.07194492254733219,0.05748709122203098,0.0378657487091222,0.5263157894736842,9.155373463599117,1.0,0.03372984438368176,1.9897494740868233,0.9598293768545993,0.4135338345864662,0.4974241666987044,0.5924992121021115
"fasole verde, telina",bors crud,0.03442340791738382,0.10533562822719449,0.033046471600688465,0.96,9.113725490196078,1.0,0.02942046030198986,22.36660929432012,0.9220142602495545,0.3096774193548387,0.9552904963447479,0.6368627450980392
"ardei gras, varza",cartofi,0.03648881239242685,0.10671256454388985,0.03545611015490534,0.9716981132075472,9.105751673767498,1.0,0.031562295407348596,31.56282271944923,0.9238909874192237,0.32907348242811507,0.9683171556331116,0.6519780888618381
"ardei gras, fasole verde",cartofi,0.0351118760757315,0.10671256454388985,0.034079173838209985,0.9705882352941178,9.095351043643264,1.0,0.030332295496221427,30.371772805507852,0.9224424047827544,0.31629392971246006,0.9670746911481357,0.6449715370018976
